Title,Keyword,keyword_key,Keyword ID,Position,Previous position,Last Seen,Search Volume,CPC,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Number of Results,Keyword Difficulty
PMP® Exam & Certification | Flat 40% Off - Enroll Now,what is the cost of pmp exam,160,3,4.0,4,2025-01-24,40,2.18,0,0.0,0,0.0,0.4,4420000,34.0
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,itil 4 foundation course,42,4,3.0,3,2025-01-23,70,4.7,0,0.0,0,0.0,0.35,6040000,46.0
PMP® Certification Course | Flat 40% Off - Enroll Now,pmp certification online course,74,3,6.0,6,2024-12-27,170,9.78,0,0.0,0,0.0,0.62,35200000,59.0
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,itilv4 foundation,58,4,3.0,3,2024-12-28,30,3.54,0,0.0,0,0.0,0.43,1190000,35.0
ITIL Foundations Course | Clear ITIL Exam on 1st Attempt,itil foundations training,56,4,3.0,3,2024-12-31,40,6.34,0,0.0,0,0.0,0.38,11500000,32.0
Simplilearn PMP® Course - Limited Offer: Get $400 Off,siplilearn,147,99,2.0,2,2025-01-02,70,1.88,0,0.0,0,0.0,0.16,4790000,38.0
CSPO® Certification - Special Offer: Flat $279 Off,knowledgehut cspo,60,99,2.0,2,2024-12-31,30,46.86,0,0.0,0,0.0,0.23,54,14.0
Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,capm training classes,13,99,2.0,2,2025-01-16,70,5.62,0,0.0,0,0.0,0.4,952000,39.0
Become Certified Scrum Master | Limited-time Offer: $270 Only,agile certified scrum master,2,1,3.0,3,2024-12-31,90,3.19,0,0.0,0,0.0,0.51,16100000,67.0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn generative ai,134,99,3.0,3,2025-01-05,30,7.87,0,0.0,0,0.0,0.85,568000,41.0
PMP® Exam & Certification | Special Offer: Get $400 Off,pmp certificering,79,3,6.0,6,2024-12-31,30,3.77,0,0.0,0,0.0,0.19,29700,66.0
PMP® Exam & Certification - Flat 40% Off - Enroll Now,pmp certification 35 hours online training,70,3,4.0,4,2024-12-31,40,7.75,0,0.0,0,0.0,0.61,28500000,31.0
Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,scrum alliance csm certification cost,105,1,4.0,4,2025-01-16,90,2.62,0,0.0,0,0.0,0.39,512000,47.0
PMP® Certification Course,duration of pmp course,32,3,2.0,2,2025-01-22,50,2.61,0,0.0,0,0.0,0.24,21900000,46.0
TOGAF® Certification Exam Cost | TOGAF® Free Exam Retake,togaf certification price,153,99,4.0,4,2025-01-13,30,1.94,0,0.0,0,0.0,0.3,384000,24.0
Master ITIL 4 Foundation - 100% Exam Pass Guarantee,itil foundation test,53,4,2.0,2,2025-01-23,50,2.49,0,0.0,0,0.0,0.53,4550000,30.0
